Product Name,Product Price,Product MRP,Product Star,Product Ratings,Product Reviews,Product Processor,Product RAM,Product Storage
ASUS Vivobook Pro 15 For Creator AMD Ryzen 5 Hexa Core 5600HS,61990,85990,4.5,360  , 27 ,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,1 TB SSD
ASUS Chromebook Intel Celeron Dual Core N4500,15990,32990,3.8,1305  , 125 ,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,35.56 cm (14 Inch) Display
HP Chromebook (2024) MediaTek MT8183,13990,34554,3.8,4127  , 431 ,MediaTek MT8183 Processor,4 GB LPDDR4X RAM,29.46 cm (11.6 Inch) Display
HP Victus Intel Core i5 12th Gen 12450H,52990,72718,4.4,74  , 4 ,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
HP Victus Intel Core i5 12th Gen 12450H,59990,78778,4.4,445  , 39 ,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Acer Intel Celeron Dual Core N4500,17990,40000,3.6,82  , 9 ,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,35.56 cm (14 inch) Display
ASUS ROG Flow X13 (2022) AMD Ryzen 9 Octa Core 6900HS,89990,158990,4.2,124  , 13 ,AMD Ryzen 9 Octa Core Processor,16 GB LPDDR5 RAM,1 TB SSD
HP Victus AMD Ryzen 5 Hexa Core 5600H,54699,68900,4,49  , 3 ,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
Acer Nitro V Intel Core i5 13th Gen 13420H,70990,87999,4.1,19  , 1 ,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,512 GB SSD
Acer Nitro V Intel Core i5 13th Gen 13420H,75990,92999,4.2,93  , 9 ,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,512 GB SSD
MSI GF63 Intel Core i7 12th Gen 12650H,85990,111990,4.4,265  , 17 ,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,1 TB SSD
Acer Aspire 7 Intel Core i5 12th Gen 12450H,50990,83999,4.2,1676  , 154 ,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
MSI Pulse 17 Intel Core i7 13th Gen 13700H,134990,207990,4.2,10  , 2 ,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD
HP Pavilion AMD Ryzen 5 Hexa Core AMD R5,56990,70600,4.4,13419  , 1329 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Acer Nitro 5 Intel Core i7 12th Gen 12650H,89990,123999,4.5,400  , 53 ,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,512 GB SSD
ASUS Vivobook 16X Intel Core i5 12th Gen 12500H,65990,98990,0,0,0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 14X OLED (2024) For Creator Intel H,70990,110990,4.2,132  , 15 ,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,512 GB SSD
MSI Sword 16 HX Intel Core i7 14th Gen 14700HX,124990,139990,0,0,0,Intel Core i7 Processor (14th Gen),16 GB DDR5 RAM,1 TB SSD
MSI Stealth 15 Intel Core i7 13th Gen 13620H,159990,209990,0,0,0,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD
Lenovo Lenovo Legion Pro 5 2024 Intel Core i9 14th Gen 14900HX,197490,256790,0,0,0,Intel Core i9 Processor (14th Gen),32 GB DDR5 RAM,1 TB SSD
ASUS ROG Ally AMD Ryzen Z1 Octa Core Extreme,59815,83990,4.6,481  , 87 ,AMD Ryzen Z1 Octa Core Processor,16 GB LPDDR5 RAM,512 GB SSD
ASUS TUF Gaming F15 (2023) with 90WHr Battery Intel H,104990,133990,4.4,240  , 23 ,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
MSI GF63 Intel Core i7 11th Gen 11800H,55990,81990,4.3,495  , 45 ,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,1 TB HDD|256 GB SSD
DELL G15 AMD Ryzen 7 Octa Core 5800H,88700,113000,4.1,7  , 1 ,NVIDIA GEFORCE RTX 3050,"15.6 inches Full HD, 2-sided narrow bezel, 120Hz, 250 Nits",Game shift key for Turbo boost of power
MSI Pulse 17 Intel Core i7 13th Gen 13700H,134990,207990,4.2,10  , 2 ,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD
Acer Nitro 5 (2024) AMD Ryzen 7 Octa Core AMD R7,79400,119000,4.4,515  , 69 ,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB HDD|256 GB SSD
ASUS ROG Flow X13 (2022) AMD Ryzen 9 Octa Core 6900HS,89990,158990,4.2,124  , 13 ,AMD Ryzen 9 Octa Core Processor,16 GB LPDDR5 RAM,1 TB SSD
ASUS Vivobook Pro 15 AMD Ryzen 7 Octa Core 5800HS,69990,102990,4,4  , 1 ,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD
Lenovo LOQ AI Powered AMD Ryzen 7 Octa Core 7840HS,77990,117490,4.4,53  , 6 ,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,512 GB SSD
HP Victus AMD Ryzen 5 Hexa Core 5600H,55398,70224,4.4,390  , 38 ,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
MSI Stealth 15 Intel Core i7 13th Gen 13620H,159990,209990,0,0,0,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD
ASUS Vivobook 16X (2024) For Creator Intel H,63990,98990,4.2,717  , 59 ,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
MSI GF63 Intel Core i5 12th Gen 12450H,71990,111990,4.4,117  , 16 ,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,1 TB HDD|256 GB SSD
ASUS ROG Strix G15 (2024) AMD Ryzen 7 Octa Core AMD R7,78990,107990,4.5,1365  , 174 ,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD
Acer Nitro V Intel Core i7 13th Gen 13620H,94999,115999,5,3  , 1 ,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,512 GB SSD
ALIENWARE Intel Core i9 10th Gen 10980HK,149990,377798,4.4,13  , 3 ,NVIDIA GeForce RTX 2080 with Max-Q,"15.6 inch Full HD LED Backlit Anti-glare IPS Display, 300 Hz, 300 Nits","Tobii-eye tracking to track head pose, presence, fine gaze and eye position"
MSI Cyborg 15 AI Intel Core Ultra 7 155H,104990,119990,5,3  , 0 ,Intel Core Ultra 7 Processor,16 GB DDR5 RAM,1 TB SSD
Lenovo AMD Ryzen 5 Quad Core R5,44880,77990,4.2,179  , 20 ,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
